#Transition #Interation #MFPT(s)
1.0 14.0 8.452465194308696e-08
2.0 30.0 8.905142381489116e-08
3.0 30.0 9.150294896418134e-08
4.0 41.0 9.384904114769462e-08
5.0 41.0 9.608529382467037e-08
6.0 41.0 9.821924426533928e-08
7.0 41.0 1.00257755543621e-07
8.0 41.0 1.0124320020286828e-07
9.0 41.0 1.0220709027046902e-07
10.0 41.0 1.0315012528996172e-07
11.0 41.0 1.0407297485774179e-07
12.0 46.0 1.1441686416323972e-07
13.0 46.0 1.2329441005597058e-07
14.0 50.0 1.5100943449102033e-07
15.0 56.0 1.53572705222231e-07
16.0 57.0 2.3259271167112054e-07
17.0 64.0 2.5069902211601465e-07
18.0 64.0 2.5823764284322684e-07
19.0 95.0 2.7932745019512443e-07
20.0 110.0 2.909102410169695e-07
21.0 147.0 2.9117418919903187e-07
22.0 148.0 2.9124029544708995e-07
23.0 148.0 2.91306363634139e-07
24.0 148.0 2.9137239379304036e-07
25.0 148.0 2.914383859566175e-07
26.0 174.0 3.3324716265827295e-07
27.0 183.0 3.288795518581671e-07
28.0 191.0 3.7295336636174813e-07
29.0 201.0 3.898742338614655e-07
30.0 212.0 4.0013856657724906e-07
31.0 212.0 4.100539335971516e-07
32.0 212.0 4.196378336100282e-07
33.0 212.0 4.2890661458971614e-07
34.0 216.0 4.250258084937138e-07
35.0 216.0 4.212291712388385e-07
36.0 216.0 4.1751399395766155e-07
37.0 217.0 4.165976240313312e-07
38.0 217.0 4.15686143247395e-07
39.0 217.0 4.147795125821217e-07
40.0 217.0 4.138776934259797e-07
41.0 237.0 4.0554357861765873e-07
42.0 255.0 3.971013711206815e-07
43.0 262.0 3.8100287290669654e-07
44.0 264.0 3.7808175677558553e-07
45.0 265.0 3.764674082501838e-07
46.0 265.0 3.7488096222964384e-07
47.0 265.0 3.733217015090123e-07
48.0 265.0 3.717889332545364e-07
49.0 270.0 3.644281327959935e-07
50.0 273.0 3.487115131576302e-07
51.0 294.0 3.467147873176453e-07
52.0 294.0 3.4477562215187496e-07
53.0 294.0 3.428915640282937e-07
54.0 294.0 3.410602968153781e-07
55.0 297.0 3.5784661139816894e-07
56.0 297.0 3.740203053013821e-07
57.0 309.0 3.729318534101393e-07
58.0 309.0 3.7185235489515035e-07
59.0 309.0 3.7078169973603347e-07
60.0 310.0 3.7051540602406444e-07
61.0 310.0 3.7024965657337343e-07
62.0 310.0 3.6998444971709066e-07
63.0 310.0 3.6971978379514637e-07
64.0 322.0 3.72517094356959e-07
65.0 325.0 3.754974467535195e-07
66.0 338.0 3.9525247432846055e-07
67.0 347.0 3.985049199121024e-07
68.0 347.0 4.017401471727244e-07
69.0 347.0 4.049582924788161e-07
70.0 347.0 4.0516360796651e-07
71.0 347.0 4.0536856814931786e-07
72.0 347.0 4.055731739759226e-07
73.0 347.0 4.057774263128044e-07
74.0 355.0 4.465134845439963e-07
75.0 369.0 4.483464620856819e-07
76.0 369.0 4.501569249053512e-07
77.0 369.0 4.519452852981301e-07
78.0 369.0 4.537119455534868e-07
79.0 379.0 4.889894275661687e-07
80.0 379.0 4.910016801434583e-07
81.0 379.0 4.92996847465908e-07
82.0 387.0 5.032311217804247e-07
83.0 389.0 5.090452481891386e-07
84.0 398.0 5.305338710204188e-07
85.0 401.0 5.386460989672164e-07
86.0 404.0 5.55250472572983e-07
87.0 419.0 5.422487680741879e-07
88.0 432.0 5.433900946361639e-07
89.0 432.0 5.445264428602861e-07
90.0 432.0 5.456575980648722e-07
91.0 448.0 5.498336717949615e-07
92.0 451.0 5.611993924988754e-07
93.0 463.0 5.695082683373562e-07
94.0 463.0 5.776532802242132e-07
95.0 463.0 5.856392078864491e-07
96.0 487.0 5.976377537121735e-07
97.0 493.0 6.037747278197891e-07
98.0 507.0 6.257243461155053e-07
99.0 530.0 6.29536438628562e-07
100.0 530.0 6.333218897424046e-07
101.0 531.0 6.352047136454193e-07
102.0 531.0 6.370809812549749e-07
103.0 531.0 6.380166671419884e-07
104.0 531.0 6.389507267566426e-07
105.0 531.0 6.398831643350792e-07
106.0 531.0 6.408139840987403e-07
107.0 593.0 6.4029849248072e-07
108.0 593.0 6.397849540906205e-07
109.0 593.0 6.392733578480918e-07
110.0 594.0 6.391457614309735e-07
111.0 594.0 6.390182855389213e-07
112.0 594.0 6.388909300012478e-07
113.0 595.0 6.388591100204682e-07
114.0 595.0 6.388272975485011e-07
115.0 595.0 6.387954925826889e-07
116.0 595.0 6.387636951203754e-07
117.0 596.0 6.386890951233694e-07
118.0 596.0 6.386145127219816e-07
119.0 596.0 6.385399479100186e-07
120.0 596.0 6.384654006812414e-07
121.0 611.0 6.418797020348112e-07
122.0 611.0 6.452750321969135e-07
123.0 611.0 6.486515488465063e-07
124.0 612.0 6.494927574028444e-07
125.0 612.0 6.503328022877428e-07
126.0 612.0 6.511716859141502e-07
127.0 612.0 6.520094106883483e-07
128.0 616.0 6.488759265532247e-07
129.0 618.0 6.756268884424079e-07
130.0 623.0 6.811338650075512e-07
131.0 623.0 6.865914240116364e-07
132.0 633.0 7.412287755155607e-07
133.0 645.0 7.446313577975023e-07
134.0 645.0 7.480155475229337e-07
135.0 645.0 7.513814934205e-07
136.0 645.0 7.547293426195944e-07
137.0 658.0 8.09499768135777e-07
138.0 661.0 8.416602883311765e-07
139.0 662.0 8.405626662429549e-07
140.0 663.0 8.404261690879073e-07
141.0 665.0 8.713170256030034e-07
142.0 689.0 8.95791262628136e-07
143.0 698.0 8.959429465993055e-07
144.0 702.0 9.1187850789573e-07
145.0 714.0 9.292848224714231e-07
146.0 739.0 9.283547392282816e-07
147.0 739.0 9.274279702503354e-07
