#Transition #Interation #MFPT(s)
1.0 11.0 3.339804709442904e-08
2.0 19.0 4.3851815520148916e-08
3.0 27.0 6.854741244370112e-08
4.0 57.0 7.294761840898101e-08
5.0 65.0 9.633923475085624e-08
6.0 66.0 1.4556188843365618e-07
7.0 68.0 1.5183333828876826e-07
8.0 77.0 1.6628295581861642e-07
9.0 83.0 1.3902205729838976e-07
10.0 94.0 1.395521271750826e-07
11.0 94.0 1.4007912818974868e-07
12.0 94.0 1.4060308691642247e-07
13.0 95.0 1.4073360504807028e-07
14.0 95.0 1.4086393508638448e-07
15.0 95.0 1.409940774376722e-07
16.0 95.0 1.411240325070711e-07
17.0 96.0 1.4060537066799816e-07
18.0 96.0 1.4010324582582023e-07
19.0 96.0 1.3961687949357188e-07
20.0 96.0 1.391455412928995e-07
21.0 111.0 1.5154077163169958e-07
22.0 111.0 1.5477835884099957e-07
23.0 111.0 1.5797468976395396e-07
24.0 111.0 1.6113054799662666e-07
25.0 111.0 1.642466974167446e-07
26.0 122.0 1.7580150054993933e-07
27.0 126.0 1.7772984041615935e-07
28.0 132.0 1.8757282259262146e-07
29.0 143.0 2.087272549268326e-07
30.0 143.0 2.2835112716846889e-07
31.0 144.0 2.465320070992534e-07
32.0 145.0 2.319411500542654e-07
33.0 155.0 2.466266134957296e-07
34.0 159.0 2.531337262641107e-07
35.0 161.0 2.5146000472520316e-07
36.0 161.0 2.498187244732217e-07
37.0 161.0 2.4820895136043695e-07
38.0 161.0 2.466297867632308e-07
39.0 161.0 2.4507837031294e-07
40.0 161.0 2.435559020015728e-07
41.0 161.0 2.420615792132079e-07
42.0 161.0 2.405946287982604e-07
43.0 182.0 2.6930974737201777e-07
44.0 184.0 2.7058460177484085e-07
45.0 188.0 2.794649671048632e-07
46.0 192.0 3.498955775024578e-07
47.0 193.0 3.6425824972997385e-07
48.0 193.0 3.776107066630878e-07
49.0 194.0 3.808042209233102e-07
50.0 194.0 3.8394274851202744e-07
51.0 194.0 3.870276974672306e-07
52.0 195.0 3.877907256150104e-07
53.0 195.0 3.8855051113795e-07
54.0 195.0 3.893070746623947e-07
55.0 195.0 3.9006043664012094e-07
56.0 197.0 4.092708357860565e-07
57.0 201.0 4.1212197597521913e-07
58.0 201.0 4.149327100258752e-07
59.0 201.0 4.1770389084338066e-07
60.0 201.0 4.20436347496287e-07
61.0 202.0 4.2071605279644417e-07
62.0 202.0 4.209952897589637e-07
63.0 202.0 4.2127405955913605e-07
64.0 202.0 4.215523633683227e-07
65.0 203.0 4.342900545679352e-07
66.0 203.0 4.462239487033873e-07
67.0 203.0 4.5742780261186474e-07
68.0 203.0 4.6796661699857787e-07
69.0 208.0 5.001183842432354e-07
70.0 210.0 5.025848458870042e-07
71.0 219.0 5.064921068039094e-07
72.0 219.0 5.103148223008882e-07
73.0 219.0 5.14055707101515e-07
74.0 219.0 5.177173609350862e-07
75.0 220.0 5.106248724138521e-07
76.0 225.0 5.109781714899745e-07
77.0 225.0 5.113308202433797e-07
78.0 225.0 5.116828204680044e-07
79.0 226.0 5.11770719631422e-07
80.0 226.0 5.118585784012891e-07
81.0 226.0 5.119463968054432e-07
82.0 227.0 5.119683451601403e-07
83.0 227.0 5.119902909941464e-07
