#Transition #Interation #MFPT(s)
1.0 15.0 4.704649534499093e-08
2.0 36.0 8.995901154137563e-08
3.0 36.0 9.377386584961925e-08
4.0 52.0 1.1335884203944808e-07
5.0 55.0 1.1832705307105573e-07
6.0 61.0 1.3167839605890942e-07
7.0 69.0 1.4584061240912037e-07
8.0 69.0 1.509203422790798e-07
9.0 73.0 1.5879984027682423e-07
10.0 75.0 1.6803586096657548e-07
11.0 82.0 1.373573373168285e-07
12.0 84.0 1.4213196222775208e-07
13.0 88.0 1.4729001428313759e-07
14.0 88.0 1.5219227553867657e-07
15.0 88.0 1.5685731284558334e-07
16.0 88.0 1.6130193857868644e-07
17.0 120.0 1.9589529752832707e-07
18.0 121.0 2.007425147091855e-07
19.0 121.0 2.054588696461184e-07
20.0 121.0 2.1004959098403754e-07
21.0 121.0 2.145196328123892e-07
22.0 122.0 2.417056109376821e-07
23.0 134.0 2.353387976781519e-07
24.0 140.0 2.3544927659368942e-07
25.0 140.0 2.3555968924134926e-07
26.0 140.0 2.3567003568073718e-07
27.0 140.0 2.3578031597138738e-07
28.0 143.0 2.3672035244015148e-07
29.0 143.0 2.3765675789898382e-07
30.0 143.0 2.385879851991835e-07
31.0 152.0 2.600562716982783e-07
32.0 154.0 2.67261665100833e-07
33.0 154.0 2.741517051294249e-07
34.0 154.0 2.807466512171289e-07
35.0 155.0 2.823514944443637e-07
36.0 155.0 2.839393362286573e-07
37.0 155.0 2.855104453122042e-07
38.0 156.0 2.85900640371386e-07
39.0 156.0 2.862898101612843e-07
40.0 156.0 2.8667795871756484e-07
41.0 156.0 2.8706509005474085e-07
42.0 163.0 2.940862960156474e-07
43.0 182.0 2.9392387365357173e-07
44.0 182.0 2.937680112233398e-07
45.0 183.0 2.937300286496546e-07
46.0 183.0 2.936924256259813e-07
47.0 183.0 2.936551964914863e-07
48.0 183.0 2.9361833569735106e-07
49.0 195.0 2.9375661546110553e-07
50.0 195.0 2.9389372442054895e-07
51.0 195.0 2.940296771823794e-07
52.0 195.0 2.9416448837906107e-07
53.0 207.0 3.501707259717525e-07
54.0 219.0 3.5910693037727173e-07
55.0 226.0 3.899775151259624e-07
56.0 230.0 3.9217583537722235e-07
57.0 231.0 3.9435909564131177e-07
58.0 231.0 3.9544512528277857e-07
59.0 231.0 3.9652744676044645e-07
60.0 231.0 3.970672228677489e-07
61.0 231.0 3.976060790338032e-07
62.0 231.0 3.981440176083929e-07
63.0 231.0 3.986810409333057e-07
64.0 241.0 4.4734038731465877e-07
65.0 243.0 4.430794043542287e-07
66.0 243.0 4.4118656763038403e-07
67.0 248.0 4.4079142768495e-07
68.0 248.0 4.4039970420184127e-07
69.0 248.0 4.4001135323647806e-07
70.0 248.0 4.3962633123871014e-07
71.0 254.0 4.389642332257577e-07
72.0 260.0 4.5772680560451726e-07
73.0 263.0 4.574549842644085e-07
74.0 263.0 4.571875898201092e-07
75.0 263.0 4.569254444478224e-07
76.0 263.0 4.566693491783397e-07
77.0 273.0 4.544096947382655e-07
78.0 277.0 4.6461735914505015e-07
79.0 301.0 4.658916280682808e-07
