#Transition #Interation #MFPT(s)
1.0 29.0 1.3947556834044744e-07
2.0 30.0 1.3081201089952824e-07
3.0 59.0 1.3211806475062674e-07
4.0 59.0 1.333180992435634e-07
5.0 59.0 1.3442452009454144e-07
6.0 61.0 1.3451116428222698e-07
7.0 61.0 1.3459738807971983e-07
8.0 61.0 1.346831945391616e-07
9.0 61.0 1.3476858668321938e-07
10.0 90.0 1.6533948175813723e-07
11.0 93.0 2.4940454824178786e-07
12.0 93.0 2.6977742698802566e-07
13.0 97.0 2.7778755365479746e-07
14.0 97.0 2.846307757163982e-07
15.0 97.0 2.905447705763448e-07
16.0 97.0 2.957067719394261e-07
17.0 112.0 3.082418941309367e-07
18.0 112.0 3.186943611226422e-07
19.0 126.0 3.244675002126264e-07
20.0 126.0 3.3002958866478787e-07
21.0 126.0 3.353919919106158e-07
22.0 126.0 3.405652737086333e-07
23.0 126.0 3.4554999948748516e-07
24.0 126.0 3.5036491271784655e-07
25.0 127.0 3.5501856225061427e-07
26.0 127.0 3.561577201272954e-07
27.0 127.0 3.5728741790623885e-07
28.0 127.0 3.5840777294175067e-07
29.0 127.0 3.595189006550606e-07
30.0 138.0 2.88509851688532e-07
31.0 143.0 2.9021606958717737e-07
32.0 143.0 2.9189685415315365e-07
33.0 143.0 2.9355276943206803e-07
34.0 143.0 2.95184363524374e-07
35.0 151.0 3.0474119609835255e-07
36.0 151.0 3.1367084402843275e-07
37.0 151.0 3.2203308598397615e-07
38.0 151.0 3.298803376728227e-07
39.0 165.0 3.294142870175058e-07
40.0 165.0 3.289496770604823e-07
41.0 165.0 3.284865011316349e-07
42.0 165.0 3.280247526019578e-07
43.0 165.0 3.278495159622002e-07
44.0 165.0 3.2767704298318613e-07
45.0 166.0 3.275072766372614e-07
46.0 166.0 3.274652493094513e-07
47.0 166.0 3.274233857480372e-07
48.0 166.0 3.273816849976663e-07
49.0 167.0 3.2737128562492243e-07
50.0 167.0 3.273608963533745e-07
51.0 167.0 3.2735051716831217e-07
52.0 167.0 3.273401480550539e-07
53.0 174.0 3.921131059194325e-07
54.0 180.0 3.9437988208563197e-07
55.0 180.0 3.9661015291005487e-07
56.0 180.0 3.988047932000274e-07
57.0 180.0 4.009646500327522e-07
58.0 182.0 4.015338252578543e-07
59.0 183.0 4.156944901399296e-07
60.0 190.0 4.1381216478534194e-07
61.0 205.0 4.522831425377375e-07
62.0 205.0 4.86085341967822e-07
63.0 218.0 4.852172445979328e-07
64.0 218.0 4.843537859476756e-07
65.0 218.0 4.834949289352958e-07
66.0 219.0 4.832809300472603e-07
67.0 219.0 4.830672158964068e-07
68.0 219.0 4.828537859148256e-07
69.0 220.0 4.828004729209845e-07
70.0 220.0 4.827471776434248e-07
71.0 220.0 4.826939000733173e-07
72.0 221.0 4.826805834881585e-07
73.0 221.0 4.826672680090227e-07
74.0 221.0 4.826539536357721e-07
75.0 221.0 4.826406403682689e-07
76.0 230.0 4.737918541818928e-07
77.0 237.0 4.731022018669343e-07
78.0 237.0 4.7241464768911874e-07
79.0 237.0 4.7172918208820863e-07
80.0 237.0 4.710457955619606e-07
81.0 247.0 4.7128688535314424e-07
82.0 247.0 4.715278232602026e-07
83.0 247.0 4.717686094266188e-07
84.0 248.0 4.718287823544199e-07
85.0 248.0 4.71888945809613e-07
86.0 248.0 4.7194909979443485e-07
87.0 248.0 4.7200924431112125e-07
88.0 254.0 4.6823754091975315e-07
89.0 257.0 4.748514014209077e-07
90.0 257.0 4.813557206596048e-07
91.0 257.0 4.877531979714707e-07
92.0 259.0 4.835679907751419e-07
93.0 261.0 4.830252986917072e-07
94.0 261.0 4.82504785695278e-07
95.0 261.0 4.820051183154977e-07
96.0 262.0 4.818833188914236e-07
97.0 262.0 4.81762726849985e-07
98.0 263.0 4.816433292686309e-07
99.0 263.0 4.816136636679379e-07
100.0 263.0 4.815840710425566e-07
101.0 263.0 4.815545511235467e-07
102.0 263.0 4.815251036432874e-07
103.0 269.0 4.800341833647463e-07
104.0 280.0 4.803379391695703e-07
105.0 280.0 4.806337534665272e-07
106.0 280.0 4.809219336756886e-07
107.0 280.0 4.812027715520644e-07
108.0 286.0 4.818793843022416e-07
109.0 286.0 4.825549157477148e-07
110.0 286.0 4.832293684784874e-07
111.0 287.0 4.833978136147015e-07
112.0 287.0 4.835661915328248e-07
113.0 287.0 4.837345022730847e-07
114.0 287.0 4.83902745875676e-07
115.0 288.0 4.846545100686733e-07
116.0 288.0 4.853801885172223e-07
117.0 288.0 4.86081698153935e-07
118.0 288.0 4.867598511759266e-07
119.0 293.0 4.86729554436602e-07
120.0 301.0 4.877547497594889e-07
121.0 301.0 4.887635860411146e-07
122.0 301.0 4.897564517439513e-07
123.0 301.0 4.907337231277983e-07
124.0 318.0 5.235288458933919e-07
125.0 320.0 5.805229503776253e-07
126.0 322.0 5.847216073660092e-07
127.0 340.0 6.251509016137702e-07
128.0 365.0 6.424411176832362e-07
129.0 365.0 6.592366077194009e-07
130.0 365.0 6.755583052400414e-07
131.0 366.0 6.795670442307836e-07
132.0 366.0 6.835477100773601e-07
133.0 366.0 6.875005966445707e-07
134.0 366.0 6.914259937099755e-07
135.0 379.0 7.110590432109207e-07
136.0 380.0 6.918172737867686e-07
137.0 382.0 7.393313392791928e-07
138.0 383.0 7.753119564043241e-07
139.0 393.0 7.909971478904262e-07
140.0 399.0 8.007563457428758e-07
141.0 403.0 8.260241734064411e-07
142.0 412.0 8.447601280000181e-07
143.0 423.0 8.6752303070494e-07
144.0 424.0 8.705723612902944e-07
145.0 424.0 8.736069984440155e-07
146.0 424.0 8.766270481129754e-07
147.0 425.0 8.773797941561602e-07
148.0 425.0 8.781316366735929e-07
149.0 425.0 8.788825772910591e-07
150.0 425.0 8.796326176304465e-07
151.0 426.0 9.452791728423415e-07
152.0 444.0 1.030375350114832e-06
153.0 448.0 1.0425917224025183e-06
154.0 450.0 1.042874174354397e-06
155.0 450.0 1.0431557957741117e-06
156.0 450.0 1.0434365903194758e-06
157.0 450.0 1.0437165616268549e-06
158.0 465.0 1.079119110299222e-06
159.0 468.0 1.0786491579500049e-06
160.0 468.0 1.0781796184209735e-06
161.0 468.0 1.077710491168417e-06
162.0 469.0 1.0775932738198145e-06
163.0 469.0 1.0774760821960692e-06
164.0 469.0 1.0773589162887138e-06
165.0 469.0 1.0772417760892842e-06
166.0 473.0 1.0789292075363454e-06
167.0 477.0 1.0830231053223133e-06
168.0 478.0 1.0901999987489956e-06
169.0 481.0 1.1440980274700429e-06
170.0 483.0 1.1712183354512545e-06
171.0 502.0 1.179489975002954e-06
172.0 503.0 1.1807967259526752e-06
173.0 510.0 1.1809586282680873e-06
174.0 510.0 1.1811203917643642e-06
175.0 510.0 1.1812820166209141e-06
176.0 529.0 1.1735238593165e-06
177.0 529.0 1.1749513781776073e-06
178.0 529.0 1.176375744733655e-06
179.0 529.0 1.1777969694164299e-06
180.0 529.0 1.1792151988640498e-06
181.0 529.0 1.1806303068571688e-06
182.0 529.0 1.1820423036897143e-06
183.0 530.0 1.1823947842750206e-06
184.0 530.0 1.1827470712317672e-06
185.0 530.0 1.1830991647194595e-06
186.0 530.0 1.183451064897428e-06
187.0 533.0 1.1779561382362493e-06
188.0 534.0 1.2227369730153422e-06
189.0 534.0 1.2168696447555e-06
190.0 535.0 1.2053652182301892e-06
191.0 535.0 1.2039482897634246e-06
192.0 535.0 1.2025359792097293e-06
193.0 535.0 1.201128264030463e-06
194.0 535.0 1.1997251218334197e-06
195.0 541.0 1.2078290351924032e-06
196.0 579.0 1.2121256553692966e-06
197.0 579.0 1.2163970030363989e-06
198.0 579.0 1.220643300264755e-06
199.0 579.0 1.224864766869667e-06
200.0 599.0 1.2234418518632522e-06
201.0 599.0 1.2220248258196328e-06
202.0 599.0 1.2206136522556735e-06
203.0 599.0 1.2192082949889776e-06
204.0 613.0 1.2076597584578976e-06
205.0 613.0 1.196377938802229e-06
206.0 613.0 1.185353701644567e-06
207.0 613.0 1.1745783250053662e-06
208.0 621.0 1.169610948503018e-06
209.0 621.0 1.1646899544487003e-06
210.0 621.0 1.1598146962521078e-06
211.0 621.0 1.1549845391824275e-06
212.0 626.0 1.1502334543438996e-06
213.0 629.0 1.0814687926801514e-06
214.0 629.0 1.0803231250935103e-06
215.0 629.0 1.0791827435096345e-06
216.0 629.0 1.0780476114290448e-06
217.0 629.0 1.0769176926875263e-06
218.0 661.0 1.0726343517337667e-06
219.0 661.0 1.0683966753062601e-06
220.0 662.0 1.0642039423481994e-06
221.0 662.0 1.063162697030313e-06
222.0 662.0 1.06212420486762e-06
223.0 662.0 1.0610884549551175e-06
224.0 663.0 1.0608299450117627e-06
225.0 663.0 1.0605716056116472e-06
226.0 663.0 1.0603134365860613e-06
227.0 663.0 1.0600554377665176e-06
228.0 672.0 1.032051436251008e-06
229.0 705.0 1.0536463256031662e-06
230.0 709.0 1.0546083007689287e-06
231.0 722.0 1.054474409614807e-06
232.0 722.0 1.0543406093015906e-06
233.0 722.0 1.054206899735444e-06
234.0 722.0 1.0540732808249898e-06
235.0 726.0 1.0848085922683595e-06
236.0 730.0 1.0892334047255074e-06
237.0 738.0 1.0902057603666904e-06
238.0 740.0 1.0646896099267384e-06
239.0 755.0 1.0909977833636712e-06
240.0 760.0 1.097495798679671e-06
241.0 760.0 1.1039542792325474e-06
242.0 760.0 1.1103735847299422e-06
243.0 760.0 1.1167540705289512e-06
244.0 762.0 1.1376984337471195e-06
245.0 773.0 1.1513105777386087e-06
246.0 773.0 1.1647633834086245e-06
247.0 773.0 1.1780596322040514e-06
248.0 774.0 1.181359553642463e-06
249.0 774.0 1.1846499022322033e-06
250.0 774.0 1.1879307195682196e-06
251.0 774.0 1.1912020470048281e-06
252.0 777.0 1.2155590180308846e-06
253.0 779.0 1.2207886668255363e-06
254.0 779.0 1.2259922826662905e-06
255.0 779.0 1.2311700594568166e-06
256.0 779.0 1.2363221891798588e-06
257.0 812.0 1.2599860635959859e-06
258.0 814.0 1.2647643480619865e-06
259.0 814.0 1.2695227427834618e-06
260.0 814.0 1.2742613716876046e-06
261.0 824.0 1.290276364705149e-06
262.0 824.0 1.3005992579837685e-06
263.0 831.0 1.343783788762468e-06
264.0 846.0 1.3450523777941817e-06
265.0 848.0 1.3451236646041352e-06
266.0 848.0 1.3451949471130724e-06
267.0 848.0 1.3452662253213823e-06
268.0 848.0 1.3453374992294545e-06
269.0 865.0 1.3462176211518391e-06
270.0 867.0 1.3471028175735306e-06
271.0 872.0 1.3499970962789909e-06
272.0 872.0 1.35288444437734e-06
273.0 872.0 1.355764886732738e-06
274.0 872.0 1.3586384480905516e-06
275.0 873.0 1.3785781872199594e-06
276.0 873.0 1.3981945294527783e-06
277.0 886.0 1.443582305915731e-06
278.0 890.0 1.4412077053268568e-06
279.0 890.0 1.4388409949629189e-06
280.0 890.0 1.4364821355631725e-06
281.0 890.0 1.4341310881269176e-06
282.0 902.0 1.468432687226246e-06
283.0 903.0 1.4701085084645585e-06
284.0 903.0 1.471781995304722e-06
