#Transition #Interation #MFPT(s)
1.0 21.0 6.012265842514203e-08
2.0 21.0 6.012265842514203e-08
3.0 21.0 6.012265842514201e-08
4.0 22.0 6.012273550206511e-08
5.0 22.0 6.012280156799919e-08
6.0 22.0 6.012285882514206e-08
7.0 22.0 6.012290892514208e-08
8.0 29.0 6.521181681995883e-08
9.0 29.0 6.947625059490733e-08
10.0 29.0 7.310156009371089e-08
11.0 30.0 7.392457076967125e-08
12.0 30.0 7.471785831265346e-08
13.0 30.0 7.548300434439398e-08
14.0 30.0 7.622148022771215e-08
15.0 39.0 1.1272389537713868e-07
16.0 53.0 1.8530287589707883e-07
17.0 66.0 1.8682246266527348e-07
18.0 66.0 1.8832542991651353e-07
19.0 75.0 2.009813733772962e-07
20.0 80.0 2.1734919876765638e-07
21.0 85.0 2.235842800115531e-07
22.0 135.0 2.510584010652918e-07
23.0 135.0 2.758391718167229e-07
24.0 153.0 2.8014631200401276e-07
25.0 153.0 2.8432065525579743e-07
26.0 153.0 2.8836824988699886e-07
27.0 154.0 2.893610218083539e-07
28.0 154.0 2.903463144404855e-07
29.0 154.0 2.913242119867824e-07
30.0 154.0 2.9229479739138694e-07
31.0 161.0 3.0213843028169007e-07
32.0 161.0 3.1154746334705684e-07
33.0 161.0 3.205500566382378e-07
34.0 161.0 3.2917198855812074e-07
35.0 178.0 3.486441981650563e-07
36.0 201.0 3.581488887086536e-07
37.0 201.0 3.671793051895469e-07
38.0 201.0 3.75770082159337e-07
39.0 201.0 3.839525619904968e-07
40.0 232.0 3.9991478363071193e-07
41.0 235.0 4.300114127563747e-07
42.0 253.0 5.178918671368233e-07
43.0 255.0 5.252350658302339e-07
44.0 255.0 5.323576928711932e-07
45.0 255.0 5.392695393554777e-07
46.0 256.0 5.409656626280602e-07
47.0 256.0 5.426493296722459e-07
48.0 256.0 5.443206772027229e-07
49.0 256.0 5.459798399407696e-07
50.0 257.0 5.531848827636795e-07
51.0 259.0 5.926788632132117e-07
52.0 264.0 6.299227940973881e-07
53.0 279.0 6.390885036719296e-07
54.0 279.0 6.478638607859282e-07
55.0 279.0 6.562732822061241e-07
56.0 279.0 6.643391899141797e-07
57.0 310.0 6.659592631936588e-07
58.0 310.0 6.675710265855518e-07
59.0 310.0 6.691745438625143e-07
60.0 310.0 6.707698781463192e-07
61.0 334.0 6.940673931422486e-07
62.0 342.0 6.979673806237741e-07
63.0 342.0 7.018306312606267e-07
64.0 342.0 7.056576617108466e-07
65.0 342.0 7.09448978971347e-07
66.0 346.0 7.134509191791695e-07
67.0 346.0 7.173832181507353e-07
68.0 346.0 7.212476780370749e-07
69.0 347.0 7.222034005895281e-07
70.0 347.0 7.231550188690084e-07
71.0 347.0 7.241025592570698e-07
72.0 347.0 7.250460479096487e-07
73.0 348.0 7.488466832343951e-07
74.0 360.0 7.573457044249682e-07
