#Transition #Interation #MFPT(s)
1.0 17.0 9.884707820725532e-08
2.0 17.0 9.884707820725532e-08
3.0 17.0 9.884707820725532e-08
4.0 17.0 9.884707820725532e-08
5.0 18.0 9.115486957085492e-08
6.0 18.0 8.621724607229883e-08
7.0 18.0 8.277927300404992e-08
8.0 20.0 8.98335548873667e-08
9.0 34.0 8.766819356526955e-08
10.0 50.0 1.0509784073725473e-07
11.0 50.0 1.1032244259291712e-07
12.0 60.0 1.1903244330859517e-07
13.0 94.0 1.461878069703151e-07
14.0 95.0 1.5201467304696113e-07
15.0 96.0 1.7349653944176818e-07
16.0 110.0 1.8136340039719183e-07
17.0 116.0 1.8543163925085752e-07
18.0 117.0 1.8643198920517176e-07
19.0 117.0 1.874258691024086e-07
20.0 136.0 1.946801500806506e-07
21.0 136.0 2.0169101004013482e-07
22.0 136.0 2.084704989796591e-07
23.0 136.0 2.1502988446548827e-07
24.0 136.0 2.2596532431412678e-07
25.0 136.0 2.3630080327386467e-07
26.0 137.0 2.880212200391588e-07
27.0 137.0 3.2714381516050536e-07
28.0 137.0 3.5777166385712344e-07
29.0 137.0 3.8240052712191466e-07
30.0 146.0 3.8781708595874045e-07
31.0 154.0 3.855503734055947e-07
32.0 154.0 3.8331719150552943e-07
33.0 154.0 3.811168017109724e-07
34.0 154.0 3.7894848700597254e-07
35.0 159.0 3.7869117469448955e-07
36.0 159.0 3.784342772310501e-07
37.0 159.0 3.781777936132131e-07
38.0 159.0 3.7792172284176476e-07
39.0 159.0 3.863422906858117e-07
40.0 161.0 3.8276562531194613e-07
41.0 181.0 3.815266832370531e-07
42.0 199.0 3.884576605657514e-07
43.0 202.0 3.9250971891126504e-07
44.0 202.0 3.965011632390386e-07
45.0 202.0 4.004333450844074e-07
46.0 202.0 4.0430759839613367e-07
47.0 205.0 4.047836989536762e-07
48.0 205.0 4.0525898946194234e-07
49.0 205.0 4.0573347198653166e-07
50.0 205.0 4.0620714858602685e-07
51.0 207.0 4.072791120487914e-07
52.0 207.0 4.0834623413077995e-07
53.0 207.0 4.09408547558024e-07
54.0 219.0 4.57731233426306e-07
55.0 227.0 4.5978542771722155e-07
56.0 227.0 4.6182411687991285e-07
57.0 227.0 4.6384747580419385e-07
58.0 227.0 4.6585567675950866e-07
59.0 228.0 4.673852684332603e-07
60.0 230.0 4.676747558058804e-07
61.0 233.0 4.7323588029721407e-07
62.0 242.0 4.785185165746418e-07
63.0 245.0 4.79751475550052e-07
64.0 246.0 4.800588695534502e-07
65.0 246.0 4.803659261546667e-07
66.0 246.0 4.806726459089064e-07
67.0 246.0 4.809790293701568e-07
68.0 251.0 4.935221667751069e-07
69.0 251.0 5.049343860894316e-07
70.0 251.0 5.159204959962664e-07
71.0 253.0 5.298686248282587e-07
72.0 256.0 5.478667078297165e-07
73.0 257.0 5.771708157810178e-07
74.0 263.0 5.899281143632829e-07
75.0 263.0 6.020885785479661e-07
76.0 263.0 6.136931342372673e-07
77.0 264.0 6.165118599032545e-07
78.0 264.0 6.192987354732787e-07
79.0 264.0 6.220542977481921e-07
80.0 265.0 6.227383587792795e-07
81.0 265.0 6.234205036677492e-07
82.0 265.0 6.241007404533823e-07
83.0 265.0 6.247790771310453e-07
84.0 274.0 6.686414042371848e-07
85.0 276.0 6.804126704618899e-07
86.0 276.0 6.917963686312291e-07
87.0 276.0 7.028113297146978e-07
88.0 276.0 7.134751841913391e-07
89.0 315.0 7.850008962082898e-07
90.0 327.0 7.872219304037804e-07
91.0 327.0 7.89425342507404e-07
92.0 327.0 7.916113414158024e-07
93.0 327.0 7.937801327368625e-07
94.0 339.0 8.102826146629037e-07
95.0 357.0 8.441998153648397e-07
96.0 363.0 8.422363538479266e-07
97.0 380.0 8.750510369415398e-07
98.0 405.0 8.807005611908398e-07
99.0 419.0 8.916592392130299e-07
100.0 420.0 8.943671092537534e-07
101.0 420.0 8.970624353491542e-07
102.0 420.0 8.997453044607274e-07
103.0 421.0 9.004140860277399e-07
104.0 421.0 9.010820957599041e-07
105.0 421.0 9.017493349926012e-07
106.0 421.0 9.024158050581333e-07
107.0 423.0 9.145716992469809e-07
108.0 431.0 9.147646258138105e-07
109.0 431.0 9.149574662682469e-07
110.0 431.0 9.151502206679313e-07
111.0 431.0 9.153428890704536e-07
112.0 439.0 9.75552119330966e-07
113.0 441.0 9.84860381260556e-07
114.0 452.0 9.911398820421689e-07
115.0 455.0 9.756809016181518e-07
116.0 457.0 9.72488903143533e-07
117.0 457.0 9.693202268577012e-07
118.0 458.0 9.723634957786378e-07
119.0 458.0 9.75386965826197e-07
120.0 458.0 9.78390829597267e-07
121.0 458.0 9.813752771796337e-07
122.0 515.0 1.0212825591967416e-06
123.0 520.0 1.0150322319219015e-06
124.0 520.0 1.0066896039532756e-06
125.0 523.0 1.0659003987655308e-06
126.0 543.0 1.0383877950558247e-06
127.0 543.0 1.0422718774101826e-06
128.0 543.0 1.0461291331737895e-06
129.0 543.0 1.049959839319105e-06
130.0 543.0 1.0537642690188453e-06
131.0 550.0 1.027948480464459e-06
132.0 553.0 1.0205667450268454e-06
133.0 555.0 1.0091204964440914e-06
134.0 583.0 1.0078689978988504e-06
135.0 583.0 1.0066209995006664e-06
136.0 583.0 1.0053764865864121e-06
137.0 583.0 1.0041354445747498e-06
138.0 588.0 9.924880349011512e-07
139.0 592.0 1.001977290116984e-06
140.0 603.0 1.0031579254966043e-06
141.0 609.0 1.0029719186608182e-06
142.0 609.0 1.0027863645220995e-06
143.0 609.0 1.0026012614315103e-06
144.0 610.0 1.0025550562465223e-06
145.0 610.0 1.002508879123483e-06
146.0 610.0 1.0024627300368358e-06
147.0 610.0 1.002416608961055e-06
148.0 654.0 1.0062757146659881e-06
149.0 654.0 1.0101167337984623e-06
150.0 655.0 1.0120305017606214e-06
151.0 655.0 1.0129857069472008e-06
152.0 655.0 1.013939795553999e-06
153.0 655.0 1.014892769537698e-06
154.0 655.0 1.0158446308504113e-06
155.0 656.0 1.0163201451563306e-06
156.0 656.0 1.0167953820243115e-06
157.0 656.0 1.0172703416970896e-06
158.0 656.0 1.0177450244171166e-06
159.0 660.0 1.0743402381856528e-06
160.0 692.0 1.1184446500721657e-06
