#Transition #Interation #MFPT(s)
1.0 11.0 3.058051880835102e-08
2.0 14.0 2.5759371660109215e-08
3.0 14.0 2.7774730469154905e-08
4.0 30.0 3.871395747077988e-08
5.0 30.0 4.800153924195345e-08
6.0 30.0 5.5985276946645944e-08
7.0 31.0 5.780912333381234e-08
8.0 31.0 5.957112958195373e-08
9.0 31.0 6.127438842771699e-08
10.0 31.0 6.29217897582705e-08
11.0 49.0 9.897615451471188e-08
12.0 54.0 1.0097526620625205e-07
13.0 54.0 1.0292989815887102e-07
14.0 54.0 1.0484151853417857e-07
15.0 54.0 1.0671153158331383e-07
16.0 58.0 9.984529627340587e-08
17.0 65.0 1.0983434505144785e-07
18.0 68.0 1.1092882945930503e-07
19.0 68.0 1.1199920781822187e-07
20.0 69.0 1.3225189096776882e-07
21.0 73.0 1.3427065478835287e-07
22.0 73.0 1.3613950357545425e-07
23.0 73.0 1.3787453869619147e-07
24.0 73.0 1.394896354278347e-07
25.0 74.0 1.406336498525522e-07
26.0 74.0 1.4172463045632038e-07
27.0 74.0 1.427661808964627e-07
28.0 74.0 1.4376158663630327e-07
29.0 79.0 1.4559345208066657e-07
30.0 79.0 1.4740391538980602e-07
31.0 83.0 1.507587614753362e-07
32.0 83.0 1.5405073899849216e-07
33.0 83.0 1.572815987547074e-07
34.0 83.0 1.6045302712795725e-07
35.0 91.0 1.7477333512123596e-07
36.0 93.0 1.7517290492603965e-07
37.0 93.0 1.7557002315479321e-07
38.0 93.0 1.759647123011015e-07
39.0 94.0 1.7606300841887554e-07
40.0 94.0 1.761611544523738e-07
41.0 94.0 1.7625915074507028e-07
42.0 94.0 1.7635699763939167e-07
43.0 99.0 1.8586516956910183e-07
44.0 106.0 1.937953714598622e-07
45.0 107.0 1.9640864308140733e-07
46.0 107.0 1.9899351373570656e-07
47.0 121.0 2.2478864345177452e-07
48.0 136.0 2.4225605998668014e-07
49.0 148.0 2.3965054182091427e-07
50.0 148.0 2.3719809694936692e-07
51.0 148.0 2.3488562081001517e-07
52.0 148.0 2.327014632722282e-07
53.0 151.0 2.3287975790100522e-07
54.0 151.0 2.3304724045538353e-07
55.0 151.0 2.3320486548513718e-07
56.0 151.0 2.3335347838829682e-07
57.0 155.0 2.364898327809665e-07
58.0 157.0 2.3484255409016497e-07
59.0 157.0 2.3324832787480355e-07
60.0 157.0 2.317046318291742e-07
61.0 158.0 2.313263266923866e-07
62.0 158.0 2.3095099565377033e-07
63.0 158.0 2.3057860377872062e-07
64.0 158.0 2.3020911667763458e-07
