#Transition #Interation #MFPT(s)
1.0 6.0 2.0198550166719195e-08
2.0 6.0 2.0198550166719195e-08
3.0 6.0 2.0198550166719192e-08
4.0 6.0 2.0198550166719195e-08
5.0 29.0 5.455523256427151e-08
6.0 29.0 7.606233760831023e-08
7.0 29.0 9.079290412557635e-08
8.0 30.0 9.377785148161335e-08
9.0 30.0 9.654484054058e-08
10.0 30.0 9.911690311295644e-08
11.0 30.0 1.0151393637165651e-07
12.0 31.0 1.0110965274234832e-07
13.0 53.0 1.2767029434985037e-07
14.0 53.0 1.4626618775158569e-07
15.0 53.0 1.6001280131805072e-07
16.0 53.0 1.7058817420368327e-07
17.0 64.0 1.5479160018270777e-07
18.0 64.0 1.4259163635173457e-07
19.0 64.0 1.3288549117778184e-07
20.0 71.0 1.7075574529562556e-07
21.0 79.0 1.748847788028901e-07
22.0 79.0 1.781736502045829e-07
23.0 79.0 1.8085510996928004e-07
24.0 79.0 1.8308320442952135e-07
25.0 93.0 1.9659086108060542e-07
26.0 93.0 2.0910496835696232e-07
27.0 93.0 2.2073125783056713e-07
28.0 93.0 2.3156097268711341e-07
29.0 112.0 2.57653876867972e-07
30.0 116.0 2.5939248546504196e-07
31.0 116.0 2.610753154718791e-07
32.0 132.0 2.5962656843483235e-07
33.0 132.0 2.5824711923415575e-07
34.0 133.0 2.575818577490703e-07
35.0 133.0 2.5693213533208544e-07
36.0 133.0 2.5661293212484394e-07
37.0 133.0 2.5629741382976414e-07
38.0 133.0 2.5598551700457355e-07
39.0 133.0 2.5567717965505045e-07
40.0 135.0 2.9796048005028887e-07
41.0 136.0 3.0295196663721074e-07
42.0 175.0 3.3576032700045634e-07
43.0 177.0 3.4173219910803107e-07
44.0 177.0 3.4755005306000995e-07
45.0 178.0 3.53219784087326e-07
46.0 178.0 3.5461473151356357e-07
47.0 178.0 3.5600085547930946e-07
48.0 178.0 3.5737823943717986e-07
49.0 178.0 3.5874696579070114e-07
50.0 190.0 3.6111347687120334e-07
51.0 190.0 3.634589341150673e-07
52.0 190.0 3.6578361723850137e-07
53.0 190.0 3.680878010245708e-07
54.0 193.0 3.6713484120755914e-07
55.0 193.0 3.66187677309496e-07
56.0 193.0 3.6524625661436453e-07
57.0 194.0 3.6501179345809384e-07
58.0 194.0 3.64777685185313e-07
59.0 194.0 3.6454393099090385e-07
60.0 195.0 3.644855478623284e-07
61.0 195.0 3.644271868008817e-07
62.0 195.0 3.643688477940551e-07
63.0 196.0 3.643542665342476e-07
64.0 196.0 3.6433968665187287e-07
65.0 196.0 3.6432510814673583e-07
66.0 196.0 3.6431053101864127e-07
67.0 197.0 4.243079251654356e-07
68.0 199.0 4.3945567383044076e-07
69.0 226.0 4.4310412616186453e-07
70.0 226.0 4.466841400467878e-07
71.0 226.0 4.501976232663782e-07
72.0 227.0 4.5106581780930954e-07
73.0 227.0 4.519299973927671e-07
74.0 227.0 4.5279018980322887e-07
75.0 227.0 4.536464225713591e-07
76.0 231.0 4.6133925590788075e-07
77.0 231.0 4.687188861070979e-07
78.0 231.0 4.7580405916454263e-07
79.0 231.0 4.826120542703009e-07
80.0 266.0 5.244490696942229e-07
81.0 271.0 5.416137861974858e-07
82.0 279.0 5.640852750542295e-07
83.0 281.0 5.989446813431512e-07
84.0 281.0 5.992742927995668e-07
85.0 281.0 5.996036460387474e-07
86.0 281.0 5.999327413640049e-07
87.0 282.0 6.000149750298407e-07
88.0 282.0 6.00097192599694e-07
89.0 282.0 6.001793940782901e-07
90.0 282.0 6.002615794703524e-07
91.0 283.0 6.064999270715879e-07
92.0 300.0 6.485238270298431e-07
93.0 305.0 6.498363149769077e-07
94.0 305.0 6.51145158601706e-07
95.0 305.0 6.524503730617167e-07
96.0 305.0 6.537519734304773e-07
97.0 314.0 6.768732719831834e-07
98.0 324.0 6.815745866579203e-07
99.0 331.0 6.922945042385869e-07
100.0 331.0 7.028133660738415e-07
101.0 331.0 7.131367759181143e-07
102.0 331.0 7.232701311949542e-07
103.0 336.0 7.187370772704632e-07
104.0 336.0 7.142620350276834e-07
105.0 341.0 7.150349101679156e-07
106.0 341.0 7.158068588187013e-07
107.0 354.0 7.569781985291749e-07
108.0 364.0 8.130213905170196e-07
109.0 367.0 7.53154456312071e-07
110.0 368.0 7.53081526995195e-07
111.0 368.0 7.530086154836464e-07
112.0 368.0 7.529357217709056e-07
113.0 369.0 8.156198889602372e-07
114.0 369.0 8.15600749206611e-07
115.0 369.0 8.155816105633505e-07
116.0 369.0 8.155624730303591e-07
117.0 369.0 8.155433366075405e-07
118.0 375.0 8.172790252021759e-07
119.0 375.0 8.190094890123734e-07
120.0 407.0 8.181536893657592e-07
121.0 407.0 8.173008671234443e-07
122.0 407.0 8.164510067744231e-07
123.0 407.0 8.156040929152441e-07
124.0 407.0 8.14390405941175e-07
125.0 407.0 8.131827448290653e-07
126.0 407.0 8.119810648131367e-07
127.0 407.0 8.107853215699318e-07
128.0 409.0 8.335656752735293e-07
129.0 421.0 8.333635113268968e-07
130.0 421.0 8.331615313684566e-07
131.0 421.0 8.329597351471532e-07
132.0 422.0 8.329093148853023e-07
133.0 422.0 8.328589060874208e-07
134.0 422.0 8.328085087495992e-07
135.0 423.0 8.32795911233794e-07
136.0 423.0 8.327833144339356e-07
137.0 423.0 8.327707183499632e-07
138.0 424.0 8.327675694479381e-07
139.0 424.0 8.32764420590651e-07
140.0 424.0 8.32761271778101e-07
141.0 424.0 8.32758123010287e-07
142.0 427.0 8.505529793890705e-07
143.0 434.0 8.585433319373498e-07
144.0 441.0 8.613963591876436e-07
145.0 441.0 8.642342067527468e-07
146.0 441.0 8.670569954602221e-07
147.0 448.0 8.946306440321733e-07
148.0 449.0 8.989020818568301e-07
149.0 450.0 8.99963795006018e-07
150.0 450.0 9.010230661358375e-07
151.0 450.0 9.0207990366185e-07
152.0 450.0 9.041863113718021e-07
153.0 450.0 9.062830846918604e-07
154.0 450.0 9.073278790881372e-07
155.0 450.0 9.083702895705663e-07
156.0 450.0 9.094103242889366e-07
157.0 451.0 9.125162582160793e-07
158.0 451.0 9.127741309992743e-07
159.0 451.0 9.130318574363052e-07
160.0 451.0 9.132894376517167e-07
161.0 451.0 9.135468717699121e-07
162.0 465.0 9.142448317967384e-07
163.0 465.0 9.149420772613058e-07
164.0 465.0 9.15638609260392e-07
165.0 466.0 9.158126310376442e-07
166.0 466.0 9.159866083087707e-07
167.0 466.0 9.161605410908428e-07
168.0 466.0 9.163344294009234e-07
169.0 474.0 9.259851570494956e-07
170.0 475.0 9.283716725832101e-07
171.0 475.0 9.307484013942527e-07
172.0 475.0 9.331154035601417e-07
173.0 476.0 9.337056418191643e-07
174.0 476.0 9.342952768151694e-07
175.0 476.0 9.348843094725475e-07
176.0 476.0 9.354727407138013e-07
177.0 487.0 9.426822907082492e-07
178.0 487.0 9.498085860423175e-07
179.0 493.0 9.54932086163955e-07
180.0 493.0 9.600110775907822e-07
181.0 493.0 9.650461378840301e-07
182.0 493.0 9.700378348131341e-07
183.0 494.0 9.705866365546233e-07
184.0 494.0 9.711349121587555e-07
185.0 494.0 9.716826623817818e-07
186.0 495.0 9.718195180552312e-07
187.0 495.0 9.719563409512949e-07
188.0 495.0 9.720931310817462e-07
189.0 495.0 9.722298884583543e-07
190.0 501.0 9.750937099674528e-07
191.0 501.0 9.788409479720724e-07
192.0 501.0 9.825651407029324e-07
193.0 501.0 9.862665000987643e-07
194.0 502.0 9.87188297595767e-07
195.0 502.0 9.881086843508549e-07
196.0 502.0 9.890276636001038e-07
197.0 503.0 9.892571890594168e-07
198.0 503.0 9.89486626801539e-07
199.0 503.0 9.89715976876745e-07
200.0 503.0 9.899452393352708e-07
201.0 510.0 9.974712262195569e-07
202.0 510.0 1.0049038768619066e-06
203.0 510.0 1.0122449168765301e-06
204.0 510.0 1.0194960296003014e-06
205.0 511.0 1.0367707286104053e-06
206.0 519.0 1.0407912478480424e-06
207.0 527.0 1.0716974993018897e-06
208.0 549.0 1.0761233084908795e-06
209.0 549.0 1.080518402865436e-06
210.0 566.0 1.085219965217192e-06
211.0 566.0 1.089888657937046e-06
212.0 566.0 1.0945248245222476e-06
213.0 566.0 1.099128803700466e-06
214.0 573.0 1.1484076007338138e-06
215.0 573.0 1.154531910595395e-06
216.0 581.0 1.1571966431833184e-06
217.0 581.0 1.1598509184111565e-06
218.0 581.0 1.1624947977159685e-06
219.0 581.0 1.1651283420544979e-06
220.0 583.0 1.1130994856529052e-06
221.0 588.0 1.1296428914620558e-06
222.0 599.0 1.195993773848738e-06
223.0 606.0 1.198050821308874e-06
224.0 606.0 1.2001018156312622e-06
225.0 607.0 1.2021467849669963e-06
226.0 607.0 1.2026570887775978e-06
227.0 607.0 1.2031670180055607e-06
228.0 607.0 1.2036765730631716e-06
229.0 607.0 1.2041857543621109e-06
230.0 610.0 1.2050171643980052e-06
231.0 612.0 1.2268984801472197e-06
232.0 616.0 1.240840606990757e-06
233.0 656.0 1.2759703511576039e-06
234.0 662.0 1.2387660513559557e-06
235.0 682.0 1.2395129268371786e-06
236.0 682.0 1.240259090025834e-06
237.0 682.0 1.2410045419404026e-06
238.0 682.0 1.236022163033621e-06
239.0 682.0 1.2310849465639878e-06
240.0 682.0 1.2261922812293916e-06
241.0 682.0 1.2213435667067934e-06
242.0 683.0 1.2215287733225658e-06
243.0 683.0 1.2217139366047585e-06
244.0 683.0 1.221899056568578e-06
245.0 683.0 1.2220841332292241e-06
246.0 684.0 1.2391064101451385e-06
247.0 686.0 1.242537867756715e-06
248.0 686.0 1.2459551250072643e-06
249.0 686.0 1.2493582698625554e-06
250.0 687.0 1.2502068617709483e-06
251.0 687.0 1.2510545784662541e-06
252.0 687.0 1.2519014213017788e-06
253.0 687.0 1.2527473916280404e-06
254.0 702.0 1.302466612890442e-06
255.0 702.0 1.3338159858901993e-06
256.0 708.0 1.3350896716370044e-06
257.0 711.0 1.3389493440376725e-06
258.0 711.0 1.3427911624276172e-06
259.0 711.0 1.3466152504041662e-06
260.0 711.0 1.3504217304264433e-06
261.0 713.0 1.3347189608801622e-06
262.0 717.0 1.3966823988474853e-06
263.0 729.0 1.3931506594987393e-06
264.0 729.0 1.3896379238196202e-06
265.0 730.0 1.3887626919487813e-06
266.0 730.0 1.3878886358648476e-06
267.0 730.0 1.3870157532000805e-06
268.0 730.0 1.3861440415930947e-06
269.0 736.0 1.3934536556376638e-06
270.0 737.0 1.3952717999779227e-06
271.0 737.0 1.397086099359323e-06
272.0 737.0 1.3988965659657927e-06
273.0 738.0 1.3993485854337565e-06
274.0 738.0 1.3998003663007488e-06
275.0 738.0 1.4002519087556398e-06
276.0 739.0 1.4003647572056782e-06
277.0 739.0 1.4004775907696902e-06
278.0 739.0 1.4005904094506216e-06
279.0 739.0 1.4007032132514164e-06
280.0 746.0 1.4264147937644997e-06
281.0 756.0 1.4045261753266528e-06
282.0 766.0 1.4412357943555079e-06
283.0 766.0 1.4987978864489521e-06
284.0 769.0 1.493850236960041e-06
285.0 769.0 1.4889544478471419e-06
286.0 770.0 1.4865257494081356e-06
287.0 770.0 1.4841097131985948e-06
288.0 770.0 1.4829064125253288e-06
289.0 771.0 1.4826060770038971e-06
290.0 771.0 1.4823059368286984e-06
291.0 771.0 1.4820059918092074e-06
292.0 771.0 1.481706241755146e-06
293.0 772.0 1.4814066868020295e-06
294.0 772.0 1.4811073264343166e-06
295.0 772.0 1.4808081604624705e-06
296.0 772.0 1.4805091886971997e-06
297.0 775.0 1.471461740953799e-06
298.0 779.0 1.4671866646753875e-06
299.0 788.0 1.451517252569152e-06
300.0 817.0 1.4593965593027432e-06
301.0 833.0 1.4554979888089184e-06
302.0 833.0 1.451626634271711e-06
303.0 834.0 1.4510710648076574e-06
304.0 856.0 1.4490012790185137e-06
305.0 856.0 1.4474935437047478e-06
306.0 883.0 1.445316035043939e-06
307.0 883.0 1.443146118659741e-06
308.0 883.0 1.4409837549134954e-06
309.0 884.0 1.4404443398934773e-06
310.0 884.0 1.439905393839044e-06
311.0 884.0 1.439366916138886e-06
312.0 885.0 1.4392323699314981e-06
313.0 885.0 1.4390978529485583e-06
314.0 885.0 1.438963365180546e-06
315.0 885.0 1.4388289066179446e-06
316.0 886.0 1.4418728560634003e-06
317.0 886.0 1.4449083280972593e-06
318.0 886.0 1.4479352059463283e-06
319.0 886.0 1.4509535260574605e-06
320.0 887.0 1.4539631737679564e-06
321.0 887.0 1.454714296571877e-06
322.0 887.0 1.4554648895963274e-06
323.0 887.0 1.4562149534016034e-06
324.0 887.0 1.4569644885472114e-06
325.0 890.0 1.4582595166994048e-06
326.0 890.0 1.4595529805981142e-06
327.0 890.0 1.4608448830758013e-06
328.0 891.0 1.4611676152056406e-06
329.0 891.0 1.4614902499673392e-06
330.0 891.0 1.4618127874049542e-06
331.0 891.0 1.4621352275625166e-06
332.0 895.0 1.4753654148855676e-06
333.0 895.0 1.4884379783038133e-06
334.0 898.0 1.4845299260416004e-06
335.0 901.0 1.4961809812628906e-06
336.0 915.0 1.4950471452755492e-06
337.0 915.0 1.4939151857069705e-06
338.0 915.0 1.4927850979029936e-06
339.0 915.0 1.4916568772248377e-06
340.0 929.0 1.5077897922246137e-06
341.0 931.0 1.4997511682395493e-06
342.0 936.0 1.5616619475318523e-06
343.0 945.0 1.5615381307691487e-06
344.0 945.0 1.5614143345947142e-06
345.0 945.0 1.5612905590034137e-06
346.0 945.0 1.5611668039901143e-06
347.0 960.0 1.5603732441419242e-06
348.0 967.0 1.5600655148364967e-06
349.0 969.0 1.5582900458246763e-06
350.0 969.0 1.5565191104813914e-06
351.0 969.0 1.554752691463669e-06
352.0 970.0 1.5543117906804642e-06
353.0 970.0 1.5538711708198164e-06
354.0 970.0 1.553430831613324e-06
355.0 970.0 1.552990772792927e-06
