#Transition #Interation #MFPT(s)
1.0 35.0 2.2583135864427908e-07
2.0 56.0 2.4786626565792205e-07
3.0 67.0 3.0375432899493547e-07
4.0 79.0 3.0278530280147997e-07
5.0 79.0 3.018581582405717e-07
6.0 80.0 3.009702587354424e-07
7.0 80.0 3.007541222895779e-07
8.0 80.0 3.0054024789105496e-07
9.0 80.0 3.0032860021342874e-07
10.0 80.0 3.0011914466203696e-07
11.0 86.0 3.00992810232036e-07
12.0 101.0 3.094253002006272e-07
13.0 101.0 3.173332161728323e-07
14.0 101.0 3.2476403124010373e-07
15.0 102.0 3.265522174051767e-07
16.0 102.0 3.283138330921452e-07
17.0 102.0 3.3004946614573307e-07
18.0 102.0 3.3175968719698935e-07
19.0 107.0 3.0825292484423233e-07
20.0 114.0 2.9708873489865726e-07
21.0 118.0 3.454049664701781e-07
22.0 122.0 3.453061516583598e-07
23.0 122.0 3.4520804068382245e-07
24.0 122.0 3.451106260533212e-07
25.0 123.0 3.4508638121963186e-07
26.0 123.0 3.450621793292578e-07
27.0 123.0 3.450380202682059e-07
28.0 123.0 3.450139039228861e-07
29.0 129.0 3.3864982196047513e-07
30.0 129.0 3.329072025012484e-07
31.0 130.0 3.302411960825729e-07
32.0 130.0 3.276992997303019e-07
33.0 130.0 3.264722157026131e-07
34.0 130.0 3.252730440740485e-07
35.0 130.0 3.2410084317244345e-07
36.0 130.0 3.2295471321312976e-07
37.0 157.0 3.8484525855168506e-07
38.0 158.0 3.836752239653415e-07
39.0 158.0 3.9795656259405763e-07
40.0 158.0 4.108625349899041e-07
41.0 158.0 4.225826958519177e-07
42.0 159.0 4.2534639888499706e-07
43.0 159.0 4.2804804455241485e-07
44.0 159.0 4.306896998414658e-07
45.0 159.0 4.3327334095199765e-07
46.0 168.0 4.6553794468338494e-07
47.0 170.0 4.885893655899512e-07
48.0 172.0 5.059300205484422e-07
49.0 172.0 5.214613641423697e-07
50.0 173.0 5.354525788473071e-07
51.0 173.0 5.387362477531484e-07
52.0 173.0 5.419404790942598e-07
53.0 173.0 5.450681210156439e-07
54.0 174.0 5.458383882255709e-07
55.0 174.0 5.466040799322599e-07
56.0 174.0 5.473652367837508e-07
57.0 174.0 5.481218989480241e-07
58.0 180.0 5.504445813565767e-07
59.0 188.0 5.634099509018798e-07
60.0 195.0 5.617172395814454e-07
61.0 196.0 5.232581257257901e-07
62.0 198.0 5.237214286960632e-07
63.0 214.0 5.177312101792442e-07
64.0 228.0 5.518142609922065e-07
65.0 247.0 5.512857085697758e-07
66.0 264.0 5.524755230636169e-07
67.0 264.0 5.536598821605026e-07
68.0 264.0 5.548388232947765e-07
69.0 265.0 5.551327169485727e-07
70.0 265.0 5.554262748752495e-07
71.0 266.0 5.557194982217383e-07
72.0 266.0 5.557927517579826e-07
73.0 266.0 5.558659843919838e-07
74.0 266.0 5.55939196132687e-07
75.0 266.0 5.560123869890323e-07
76.0 268.0 5.708844375662275e-07
77.0 268.0 5.851767679188683e-07
78.0 268.0 5.989226267132276e-07
79.0 268.0 6.12152767765667e-07
80.0 288.0 6.202789911594398e-07
81.0 309.0 6.224410241421533e-07
82.0 333.0 6.318122478028546e-07
83.0 333.0 6.410052760089898e-07
84.0 333.0 6.500251436205738e-07
85.0 333.0 6.588766976645961e-07
86.0 345.0 6.602564041073239e-07
87.0 355.0 6.745253040751438e-07
88.0 363.0 6.688164772439184e-07
89.0 363.0 6.632300223348876e-07
90.0 363.0 6.577620464050339e-07
91.0 364.0 6.564131268889066e-07
92.0 364.0 6.550713217105112e-07
93.0 364.0 6.537365747352744e-07
94.0 364.0 6.524088304176345e-07
95.0 366.0 6.684904888013482e-07
96.0 377.0 6.572058749891099e-07
97.0 377.0 6.801112444710015e-07
98.0 379.0 6.588930079420605e-07
99.0 380.0 6.486673866455431e-07
100.0 381.0 6.814662513850216e-07
101.0 395.0 7.083462264178917e-07
102.0 404.0 7.114541175669701e-07
103.0 404.0 7.145440458817176e-07
104.0 405.0 7.176161695317406e-07
105.0 405.0 7.183814360384925e-07
106.0 405.0 7.191456015555269e-07
107.0 405.0 7.199086684571286e-07
108.0 405.0 7.206706391107602e-07
109.0 418.0 7.239778155725937e-07
110.0 418.0 7.272655497932094e-07
111.0 421.0 7.310117787866889e-07
112.0 421.0 7.34729106562856e-07
113.0 421.0 7.384178662850419e-07
114.0 421.0 7.420783860153889e-07
115.0 431.0 7.377488396105829e-07
116.0 431.0 7.334719153061652e-07
117.0 431.0 7.292466595284871e-07
118.0 431.0 7.250721416057906e-07
119.0 435.0 7.276386427549284e-07
120.0 435.0 7.301927076586192e-07
121.0 435.0 7.32734426490052e-07
122.0 435.0 7.352638885527429e-07
123.0 438.0 7.460905933048843e-07
124.0 444.0 8.306035912698061e-07
125.0 458.0 8.328558694574633e-07
126.0 477.0 8.319087256227008e-07
127.0 485.0 8.453855232034457e-07
128.0 489.0 8.703344772785994e-07
129.0 492.0 8.983937144032522e-07
130.0 511.0 9.278923366953432e-07
131.0 518.0 9.418405246290496e-07
132.0 537.0 9.549338791140593e-07
133.0 541.0 9.595028473238825e-07
134.0 541.0 9.640393383209812e-07
135.0 541.0 9.68543697161551e-07
136.0 541.0 9.730162640309425e-07
137.0 550.0 1.0267215662950742e-06
138.0 573.0 1.0248028321259905e-06
139.0 573.0 1.022895053586935e-06
140.0 573.0 1.0209981371129865e-06
141.0 573.0 1.0191119902016347e-06
142.0 578.0 1.0040905182321982e-06
143.0 591.0 1.0021591341531424e-06
144.0 600.0 9.993442422120611e-07
145.0 600.0 9.965518929223643e-07
146.0 601.0 9.937818205659178e-07
147.0 601.0 9.930927514203741e-07
148.0 601.0 9.924050536156206e-07
149.0 601.0 9.917187230619963e-07
150.0 601.0 9.91033755686086e-07
151.0 619.0 9.885467467849381e-07
152.0 619.0 9.860851188021715e-07
153.0 619.0 9.836484851766898e-07
154.0 620.0 9.83043188855127e-07
155.0 620.0 9.824394251256614e-07
156.0 620.0 9.81837188174937e-07
157.0 621.0 9.816868671346081e-07
158.0 621.0 9.815366410660193e-07
159.0 621.0 9.813865098791955e-07
160.0 621.0 9.812364734842747e-07
161.0 634.0 9.625389134907295e-07
162.0 645.0 9.618558900236012e-07
163.0 645.0 9.611759886137865e-07
164.0 645.0 9.60499187904005e-07
165.0 646.0 9.6033047029755e-07
166.0 646.0 9.601619448317897e-07
167.0 646.0 9.599936111786879e-07
168.0 646.0 9.59825469010954e-07
169.0 669.0 9.465571366478927e-07
170.0 671.0 9.615527051591902e-07
171.0 683.0 9.609214572053356e-07
172.0 683.0 9.765246907520432e-07
173.0 690.0 9.726408188717765e-07
174.0 691.0 9.727694930882242e-07
175.0 694.0 9.725759475015133e-07
176.0 694.0 9.723841694973507e-07
177.0 694.0 9.721941349717548e-07
178.0 694.0 9.720058202570263e-07
179.0 697.0 9.727803625846424e-07
180.0 697.0 9.735241574008792e-07
181.0 713.0 9.743895105822365e-07
182.0 726.0 9.750028277409118e-07
183.0 728.0 9.750415644549067e-07
184.0 728.0 9.75080290887191e-07
185.0 728.0 9.751190070422545e-07
186.0 729.0 9.75128684508934e-07
187.0 729.0 9.751383613336017e-07
188.0 729.0 9.75148037516321e-07
189.0 729.0 9.751577130571561e-07
190.0 731.0 9.800606488818368e-07
191.0 732.0 9.811678593872364e-07
192.0 733.0 9.793038078959813e-07
193.0 733.0 9.774468596043078e-07
194.0 733.0 9.755969739879917e-07
195.0 733.0 9.737541108306686e-07
196.0 736.0 9.756376866073378e-07
197.0 736.0 9.775011685267266e-07
198.0 736.0 9.7934487642269e-07
199.0 736.0 9.811691233771812e-07
200.0 756.0 9.832164805417341e-07
201.0 758.0 9.847671329744566e-07
202.0 758.0 9.86309150395569e-07
203.0 760.0 9.967378480825622e-07
204.0 789.0 9.816532515370411e-07
205.0 789.0 9.907430672876985e-07
206.0 808.0 9.90483321803675e-07
207.0 808.0 9.902237202581044e-07
208.0 808.0 9.89964262531374e-07
209.0 808.0 9.897049485040036e-07
210.0 814.0 9.92487708476981e-07
211.0 820.0 1.0004574970586556e-06
212.0 823.0 1.0047624269675784e-06
213.0 833.0 1.0122967572596844e-06
214.0 837.0 1.012321922622657e-06
215.0 840.0 1.0131642208339453e-06
216.0 860.0 1.0238507107380564e-06
217.0 860.0 1.027771575907436e-06
218.0 866.0 1.024386720559593e-06
219.0 918.0 1.0260522662687918e-06
220.0 921.0 1.0288565982864743e-06
221.0 921.0 1.031645452656751e-06
222.0 926.0 1.0377736119980944e-06
